Date,Item,Qty
9/6/2020,1868,37529
9/6/2020,14127,5020
9/6/2020,86331,709
9/13/2020,1868,41510
9/13/2020,14127,3540
9/13/2020,86331,4080
9/20/2020,1868,51632
9/20/2020,14127,2760
9/20/2020,86331,25381
9/27/2020,1868,52005
9/27/2020,14127,4080
9/27/2020,86331,13180
10/4/2020,1868,51070
10/4/2020,14127,1790
10/4/2020,86331,10263
10/11/2020,1868,72120
10/11/2020,14127,3790
10/11/2020,86331,16920
10/18/2020,1868,59748
10/18/2020,14127,2940
10/18/2020,86331,20522
10/25/2020,1868,48799
10/25/2020,14127,6530
10/25/2020,86331,20280
11/1/2020,1868,57676
11/1/2020,14127,6011
11/1/2020,86331,25560
11/8/2020,1868,50945
11/8/2020,14127,2950
11/8/2020,86331,14280
11/15/2020,1868,58969
11/15/2020,14127,2520
11/15/2020,86331,9840
11/22/2020,1868,55927
11/22/2020,14127,1510
11/22/2020,86331,12480
11/29/2020,1868,54533
11/29/2020,14127,1960
11/29/2020,86331,16440
12/6/2020,1868,64351
12/6/2020,14127,11790
12/6/2020,86331,8160
12/13/2020,1868,76241
12/13/2020,14127,6000
12/13/2020,86331,11640
12/20/2020,1868,38630
12/20/2020,14127,1100
12/20/2020,86331,11400
12/27/2020,1868,87815
12/27/2020,14127,3250
12/27/2020,86331,20660
1/3/2021,1868,65507
1/3/2021,14127,2480
1/3/2021,86331,10680
1/10/2021,1868,52804
1/10/2021,14127,2930
1/10/2021,86331,25800
1/17/2021,1868,62293
1/17/2021,14127,5650
1/17/2021,86331,17160
1/24/2021,1868,69900
1/24/2021,14127,3650
1/24/2021,86331,17280
1/31/2021,1868,67250
1/31/2021,14127,3550
1/31/2021,86331,18840
2/7/2021,1868,63990
2/7/2021,14127,3430
2/7/2021,86331,8760
2/14/2021,1868,46891
2/14/2021,14127,2170
2/14/2021,86331,13891
2/21/2021,1868,65210
2/21/2021,14127,3400
2/21/2021,86331,20400
2/28/2021,1868,61066
2/28/2021,14127,4250
2/28/2021,86331,14520
3/7/2021,1868,64320
3/7/2021,14127,3930
3/7/2021,86331,10920
3/14/2021,1868,61745
3/14/2021,14127,3880
3/14/2021,86331,15120
3/21/2021,1868,42839
3/21/2021,14127,2250
3/21/2021,86331,17760
3/28/2021,1868,53110
3/28/2021,14127,4500
3/28/2021,86331,7560
4/4/2021,1868,79439
4/4/2021,14127,6140
4/4/2021,86331,18000
4/11/2021,1868,49070
4/11/2021,14127,2620
4/11/2021,86331,13460
4/18/2021,1868,60548
4/18/2021,14127,3920
4/18/2021,86331,10680
4/25/2021,1868,36933
4/25/2021,14127,837
4/25/2021,86331,10680
5/2/2021,1868,72370
5/2/2021,14127,2980
5/2/2021,86331,17880
5/9/2021,1868,59374
5/9/2021,14127,7944
5/9/2021,86331,7440
5/16/2021,1868,56253
5/16/2021,14127,970
5/16/2021,86331,16800
5/23/2021,1868,51190
5/23/2021,14127,1059
5/23/2021,86331,12960
5/30/2021,1868,80790
5/30/2021,14127,420
5/30/2021,86331,10560
6/6/2021,1868,39424
6/6/2021,14127,90
6/6/2021,86331,12720
6/13/2021,1868,46171
6/13/2021,14127,5030
6/13/2021,86331,21000
6/20/2021,1868,74490
6/20/2021,14127,2679
6/20/2021,86331,26520
6/27/2021,1868,84120
6/27/2021,14127,1680
6/27/2021,86331,10560
7/4/2021,1868,59090
7/4/2021,14127,4640
7/4/2021,86331,15480
7/11/2021,1868,75820
7/11/2021,14127,5706
7/11/2021,86331,14040
7/18/2021,1868,57790
7/18/2021,14127,3950
7/18/2021,86331,27240
7/25/2021,1868,55430
7/25/2021,14127,5450
7/25/2021,86331,18808
8/1/2021,1868,49400
8/1/2021,14127,3950
8/1/2021,86331,16920
8/8/2021,1868,57600
8/8/2021,14127,5200
8/8/2021,86331,17760
8/15/2021,1868,57260
8/15/2021,14127,4500
8/15/2021,86331,18480
8/22/2021,1868,50958
8/22/2021,14127,4000
8/22/2021,86331,21653
8/29/2021,1868,48662
8/29/2021,14127,4700
8/29/2021,86331,16440
9/5/2021,1868,54390
9/5/2021,14127,4900
9/5/2021,86331,15480
9/12/2021,1868,44770
9/12/2021,14127,2300
9/12/2021,86331,14880
9/19/2021,1868,63460
9/19/2021,14127,3700
9/19/2021,86331,31440
9/26/2021,1868,55300
9/26/2021,14127,3560
9/26/2021,86331,25100
10/3/2021,1868,61925
10/3/2021,14127,4400
10/3/2021,86331,16800
10/10/2021,1868,69095
10/10/2021,14127,5180
10/10/2021,86331,11520
10/17/2021,1868,57330
10/17/2021,14127,3550
10/17/2021,86331,23400
10/24/2021,1868,53600
10/24/2021,14127,4870
10/24/2021,86331,15960
