Date,Item,Qty
1949-01,PASS-01,112
1949-02,PASS-01,118
1949-03,PASS-01,132
1949-04,PASS-01,129
1949-05,PASS-01,121
1949-06,PASS-01,135
1949-07,PASS-01,148
1949-08,PASS-01,148
1949-09,PASS-01,136
1949-10,PASS-01,119
1949-11,PASS-01,104
1949-12,PASS-01,118
1950-01,PASS-01,115
1950-02,PASS-01,126
1950-03,PASS-01,141
1950-04,PASS-01,135
1950-05,PASS-01,125
1950-06,PASS-01,149
1950-07,PASS-01,170
1950-08,PASS-01,170
1950-09,PASS-01,158
1950-10,PASS-01,133
1950-11,PASS-01,114
1950-12,PASS-01,140
1951-01,PASS-01,145
1951-02,PASS-01,150
1951-03,PASS-01,178
1951-04,PASS-01,163
1951-05,PASS-01,172
1951-06,PASS-01,178
1951-07,PASS-01,199
1951-08,PASS-01,199
1951-09,PASS-01,184
1951-10,PASS-01,162
1951-11,PASS-01,146
1951-12,PASS-01,166
1952-01,PASS-01,171
1952-02,PASS-01,180
1952-03,PASS-01,193
1952-04,PASS-01,181
1952-05,PASS-01,183
1952-06,PASS-01,218
1952-07,PASS-01,230
1952-08,PASS-01,242
1952-09,PASS-01,209
1952-10,PASS-01,191
1952-11,PASS-01,172
1952-12,PASS-01,194
1953-01,PASS-01,196
1953-02,PASS-01,196
1953-03,PASS-01,236
1953-04,PASS-01,235
1953-05,PASS-01,229
1953-06,PASS-01,243
1953-07,PASS-01,264
1953-08,PASS-01,272
1953-09,PASS-01,237
1953-10,PASS-01,211
1953-11,PASS-01,180
1953-12,PASS-01,201
1954-01,PASS-01,204
1954-02,PASS-01,188
1954-03,PASS-01,235
1954-04,PASS-01,227
1954-05,PASS-01,234
1954-06,PASS-01,264
1954-07,PASS-01,302
1954-08,PASS-01,293
1954-09,PASS-01,259
1954-10,PASS-01,229
1954-11,PASS-01,203
1954-12,PASS-01,229
1955-01,PASS-01,242
1955-02,PASS-01,233
1955-03,PASS-01,267
1955-04,PASS-01,269
1955-05,PASS-01,270
1955-06,PASS-01,315
1955-07,PASS-01,364
1955-08,PASS-01,347
1955-09,PASS-01,312
1955-10,PASS-01,274
1955-11,PASS-01,237
1955-12,PASS-01,278
1956-01,PASS-01,284
1956-02,PASS-01,277
1956-03,PASS-01,317
1956-04,PASS-01,313
1956-05,PASS-01,318
1956-06,PASS-01,374
1956-07,PASS-01,413
1956-08,PASS-01,405
1956-09,PASS-01,355
1956-10,PASS-01,306
1956-11,PASS-01,271
1956-12,PASS-01,306
1957-01,PASS-01,315
1957-02,PASS-01,301
1957-03,PASS-01,356
1957-04,PASS-01,348
1957-05,PASS-01,355
1957-06,PASS-01,422
1957-07,PASS-01,465
1957-08,PASS-01,467
1957-09,PASS-01,404
1957-10,PASS-01,347
1957-11,PASS-01,305
1957-12,PASS-01,336
1958-01,PASS-01,340
1958-02,PASS-01,318
1958-03,PASS-01,362
1958-04,PASS-01,348
1958-05,PASS-01,363
1958-06,PASS-01,435
1958-07,PASS-01,491
1958-08,PASS-01,505
1958-09,PASS-01,404
1958-10,PASS-01,359
1958-11,PASS-01,310
1958-12,PASS-01,337
1959-01,PASS-01,360
1959-02,PASS-01,342
1959-03,PASS-01,406
1959-04,PASS-01,396
1959-05,PASS-01,420
1959-06,PASS-01,472
1959-07,PASS-01,548
1959-08,PASS-01,559
1959-09,PASS-01,463
1959-10,PASS-01,407
1959-11,PASS-01,362
1959-12,PASS-01,405
1960-01,PASS-01,417
1960-02,PASS-01,391
1960-03,PASS-01,419
1960-04,PASS-01,461
1960-05,PASS-01,472
1960-06,PASS-01,535
1960-07,PASS-01,622
1960-08,PASS-01,606
1960-09,PASS-01,508
1960-10,PASS-01,461
1960-11,PASS-01,390
1960-12,PASS-01,432
