Date,Item,Qty
1964-01,CHAMP-01,2815
1964-02,CHAMP-01,2672
1964-03,CHAMP-01,2755
1964-04,CHAMP-01,2721
1964-05,CHAMP-01,2946
1964-06,CHAMP-01,3036
1964-07,CHAMP-01,2282
1964-08,CHAMP-01,2212
1964-09,CHAMP-01,2922
1964-10,CHAMP-01,4301
1964-11,CHAMP-01,5764
1964-12,CHAMP-01,7312
1965-01,CHAMP-01,2541
1965-02,CHAMP-01,2475
1965-03,CHAMP-01,3031
1965-04,CHAMP-01,3266
1965-05,CHAMP-01,3776
1965-06,CHAMP-01,3230
1965-07,CHAMP-01,3028
1965-08,CHAMP-01,1759
1965-09,CHAMP-01,3595
1965-10,CHAMP-01,4474
1965-11,CHAMP-01,6838
1965-12,CHAMP-01,8357
1966-01,CHAMP-01,3113
1966-02,CHAMP-01,3006
1966-03,CHAMP-01,4047
1966-04,CHAMP-01,3523
1966-05,CHAMP-01,3937
1966-06,CHAMP-01,3986
1966-07,CHAMP-01,3260
1966-08,CHAMP-01,1573
1966-09,CHAMP-01,3528
1966-10,CHAMP-01,5211
1966-11,CHAMP-01,7614
1966-12,CHAMP-01,9254
1967-01,CHAMP-01,5375
1967-02,CHAMP-01,3088
1967-03,CHAMP-01,3718
1967-04,CHAMP-01,4514
1967-05,CHAMP-01,4520
1967-06,CHAMP-01,4539
1967-07,CHAMP-01,3663
1967-08,CHAMP-01,1643
1967-09,CHAMP-01,4739
1967-10,CHAMP-01,5428
1967-11,CHAMP-01,8314
1967-12,CHAMP-01,10651
1968-01,CHAMP-01,3633
1968-02,CHAMP-01,4292
1968-03,CHAMP-01,4154
1968-04,CHAMP-01,4121
1968-05,CHAMP-01,4647
1968-06,CHAMP-01,4753
1968-07,CHAMP-01,3965
1968-08,CHAMP-01,1723
1968-09,CHAMP-01,5048
1968-10,CHAMP-01,6922
1968-11,CHAMP-01,9858
1968-12,CHAMP-01,11331
1969-01,CHAMP-01,4016
1969-02,CHAMP-01,3957
1969-03,CHAMP-01,4510
1969-04,CHAMP-01,4276
1969-05,CHAMP-01,4968
1969-06,CHAMP-01,4677
1969-07,CHAMP-01,3523
1969-08,CHAMP-01,1821
1969-09,CHAMP-01,5222
1969-10,CHAMP-01,6872
1969-11,CHAMP-01,10803
1969-12,CHAMP-01,13916
1970-01,CHAMP-01,2639
1970-02,CHAMP-01,2899
1970-03,CHAMP-01,3370
1970-04,CHAMP-01,3740
1970-05,CHAMP-01,2927
1970-06,CHAMP-01,3986
1970-07,CHAMP-01,4217
1970-08,CHAMP-01,1738
1970-09,CHAMP-01,5221
1970-10,CHAMP-01,6424
1970-11,CHAMP-01,9842
1970-12,CHAMP-01,13076
1971-01,CHAMP-01,3934
1971-02,CHAMP-01,3162
1971-03,CHAMP-01,4286
1971-04,CHAMP-01,4676
1971-05,CHAMP-01,5010
1971-06,CHAMP-01,4874
1971-07,CHAMP-01,4633
1971-08,CHAMP-01,1659
1971-09,CHAMP-01,5951
1971-10,CHAMP-01,6981
1971-11,CHAMP-01,9851
1971-12,CHAMP-01,12670
1972-01,CHAMP-01,4348
1972-02,CHAMP-01,3564
1972-03,CHAMP-01,4577
1972-04,CHAMP-01,4788
1972-05,CHAMP-01,4618
1972-06,CHAMP-01,5312
1972-07,CHAMP-01,4298
1972-08,CHAMP-01,1413
1972-09,CHAMP-01,5877
